address,balance
0x00024eacb7936b04ba5e07eddfd7fe701e7c66e0,61148.3333
0x026382ed7c72b178df16b9df2c5490e9350d1d45,8921.042165615
0x095be2517bd3b139b2cd22d21d4dec0d6aead68a,52323008.23391138
0x0af3b914f8eff37219530e57d9f4d1c946ebb8a6,5005.4208237296425
0x0f4dc8b3ad7fb88ab6fb37354dd1462cdf25c08c,464.0640733333333
0x1349a4f2c6c8cb4e5e4efb724aed3f3dd651c057,5002.431293026399
0x1858e9785590950f63e834db6beffbf82f7c19cd,2006708.6501173333
0x3003ac7f96bbac22c9f7c711dfa5ee220e02fae6,593.7730363846666
0x3e9402b98474e8979e0536b71e69fa3ce3aa3715,9031.6774
0x4434984b33a9bc0a7df66b8bf11c36cde89f3084,35145.71065
0x469fa99b9bdc588580e73bf82e24203fca162357,5257.9226875
0x48b3c851c886f179b4a4ef55644d9c4bbdb7c847,610.0836
0x49272a7f0d4ab2911b8f4430d5605b3a5a08405b,5190.734491797853
0x61a093a3c8b184c20258d19a64c2b053ad6f75d8,5010.8882
0x6a0de0f5c1dc7d9e8d515b81bde2b809cf44fc60,5234.545579968012
0x79cc002bb4d5823a62b9f712b51c22f6ee4aa136,7300.515595230102
0x79f3a634f275e7606e184ceca026060d9dbe96b7,766.8467
0x7c468836eaaba0f2af302a5cbf633ddec38dfa67,273280.8827
0x8a30063f77eeab89a3787b9fe1703befe86c5455,6158.4975
0x9a7a980cbe5861ee8d618cc9afb5faf7f98f22c3,28373.3946
0xb1eeb09c753423e08ce41b5e57430fad95008263,5080.0916
0xbeb058c01ebb9d75b8571325da539b4d838edef8,41253.106
0xc2350e5e6ccd85a33d42e810cf5befaba87fcdfb,9999867633332.61
0xc77462ed9d125ecc3616eca5216455e7d828d2e9,14725871.6953
0xcf92cb6a7d0da6ab55b57bb71f8987e7213068d8,25536.145047829923
0xd07b1f1815f675f6e3ff81930923409f75001bfb,853903.3721
0xd3859889fcbdda187227c723fe097125fed2542f,55095810.2412
0xd908fa7049fca5a39b3603aee9db5d4d532fe843,13224.10907553125
0xe1d742e039aea02402b2d864b70ea55b5e0f3e79,12579.993378819992
0xec0f1750d451a62f172f284a2c7f1994463c3764,153.41413804016892
0x64f928b8738ec6dbf0a4cfda081072cd550f6fa9,180191.25
0x88e0f07c96c3d438b54115f0666449d293072bd3,1069.9790985
0x1c79deaa038b68e2570d30b65a5f457b66669009,35874
0x5b1fe3a2f2d3a6b285975347b817b938eeaf56ee,29143.4
0x143bf40dae917ea7aac269fbb5bd7c62e041c76c,219517.050525
0xf818d947ae0aa8d7429ccfcae5912a02d6fd6674,3566.008333333333
0x5be4964f425d56cad81291d40b66e83678886333,608472.5000000001
0xbf653e5fb4176afe4f81227999a31a30eab851f4,13584.461548828584
0xa92cc357c1a2cda3f97460e9899729d6d71b302e,65090.654745
0x033d311b74cb8886c0b36368a565bd68b8426240,82095.2207435975
0x25901792caeec9677d3c91ee36dac449b930400d,62694.770833333336
0x2846af7f615acabeeecf20a0261831e61d5006da,982620.47966975
0x65587237b2da6dd70787acd27b277eeabbfcfde2,71573.16666666667
0x9a767b234351c78818fca5768b8b0f3b173c839f,3446178.2349516666
0x60b7842a7b2b1d43f337b2d8d8f7ff4496c93b6c,14571.7
0x2332ce78d2b2ce092f341fc6dab7fe3603e8a293,79971.17991635
0xefe5ef812e88fa281d5cd252f8a48c237a5b0f45,11432.748333333333
0x2c1c90c7907666a94678bb1b8a7a61e6c433f543,58188.971357625
0xf778a9ad4c5764f893f670df9520ad3fd593e324,11165.946065
0x239b667f61b0a67280ae05d7ba344d5f4259a015,21399.58197
0x78306910b278c053dc386a3919878a3a422762f5,2009.7626082455
0x70553dfcdfca75bf9812dc9b87b4dc191ed201a1,10053.6525
0xc2d15061c7b69ba4bf9a17a577c06f863a6ff0d1,3642.925
0x06c77ed5f3a4f49360a3fedc933fadc59b2564b3,364.823275
0x45317795a45496d6f655c950552fd5fb6c2166f1,3361.8279350975
0x4abfc60da8ceae001a513a9882c2725d15edf5ef,7698.85
0x6462fa4e74a2eb45381a3a7d96c368d3bf6e863a,694814.5833333334
0x6d9830e5623619f4288c24eb709c7fd5c1f92132,37621.666479416665
0x5e3096ee126a14e08965d4377d186601725b0b42,47916.7
0x2573d3d5505da386bab8d4d312b5ce9c466feca8,52141.46463352888
0x267e22608f831b3f8509ae0cc5d2a7855d3ac954,11713.95
0x205345366a323bf976f8f21800b9757b33611345,11806.75766315
0x79f1b0983ba0652b266c240ef8048ffa93602dc1,307.873817553125
0xfc7f5389e40f261abbad7ec594b09b46aba6023f,921.9764306375
0x1b4e99d2a838ee7b524f47a399c34af43a8fad80,6000